lr = 0.0005,lr = 0.0006,lr = 0.0007,lr = 0.0008,lr = 0.0009,lr = 0.001,lr = 0.0011,lr = 0.0012,lr = 0.0013,lr = 0.0014,lr = 0.0015,lr = 0.0016,lr = 0.0017,lr = 0.0018,lr = 0.0019,lr = 0.002,lr = 0.0021,lr = 0.0022,lr = 0.0023,lr = 0.0024
,,,,,,,,,,,,,,,,,,,
11.0893,29.4404,20.2268,33.2412,21.7612,14.585,23.589,15.416,23.9418,11.5763,13.0492,5.53404,15.0019,9.87141,6.24668,8.38103,-0.455666,19.7191,12.5984,11.4174
8.59675,23.8686,15.0862,26.2738,16.5553,10.9626,17.3523,11.2543,17.6338,8.79379,9.45489,4.6794,11.1671,7.17224,4.8612,6.56796,-0.430212,16.5752,9.26143,8.28731
7.24933,20.1272,12.1006,21.8255,13.4274,8.80075,13.8406,8.90263,14.0756,7.0836,7.43385,4.02912,8.92068,5.62236,3.94456,5.37346,-0.405941,14.2983,7.33311,6.50858
6.8214,17.4116,10.1012,18.6919,11.2963,7.33393,11.5229,7.34929,11.7251,5.90576,6.10267,3.51661,7.41069,4.59252,3.2875,4.5182,-0.382824,12.5626,6.04641,5.33176
6.43554,15.3382,8.65315,16.3469,9.73605,6.26353,9.85885,6.23432,10.0367,5.03848,5.14928,3.10191,6.31519,3.85179,2.7917,3.87252,-0.360826,11.1906,5.11758,4.48704
6.08582,13.6973,7.54979,14.5178,8.53804,5.44405,8.59825,5.3904,8.7571,4.37061,4.4291,2.7594,5.47987,3.29114,2.40387,3.36664,-0.33992,10.0762,4.41216,3.84822
5.76735,12.363,6.67827,13.047,7.58627,4.79479,7.60662,4.72741,7.75024,3.83941,3.86438,2.4718,4.82004,2.85129,2.09228,2.95922,-0.32007,9.1516,3.85682,3.3471
5.47613,11.2549,5.97104,11.8361,6.81035,4.26693,6.80436,4.1919,6.93545,3.4064,3.40912,2.22705,4.28482,2.49687,1.83672,2.62402,-0.301239,8.3712,3.40775,2.94313
5.2088,10.3189,5.38491,10.8205,6.16485,3.82899,6.141,3.74997,6.26158,3.04654,3.03413,2.01639,3.84159,2.2053,1.62363,2.34351,-0.283392,7.7032,3.03696,2.61052
4.96254,9.51714,4.89086,9.95562,5.61898,3.45968,5.58281,3.37891,5.69446,2.74278,2.71991,1.83335,3.46839,1.96144,1.44357,2.10548,-0.266489,7.12461,2.72564,2.33201
4.73496,8.82216,4.46857,9.20966,5.15108,3.14404,5.10635,3.06296,5.21028,2.48305,2.45291,1.673,3.14983,1.75471,1.2897,1.90116,-0.250498,6.6184,2.46063,2.09557
4.52403,8.21369,4.10339,8.55933,4.74542,2.87122,4.69474,2.79073,4.79194,2.25855,2.22335,1.53152,2.87477,1.57747,1.157,1.72404,-0.235378,6.17168,2.23247,1.89252
4.32798,7.67635,3.78445,7.98711,4.39031,2.63313,4.33553,2.55383,4.4268,2.0627,2.02404,1.40593,2.63496,1.42408,1.04163,1.56923,-0.221092,5.77445,2.03411,1.71645
4.14532,7.19823,3.50351,7.47958,4.07684,2.42364,4.01928,2.34591,4.10528,1.8905,1.84951,1.29384,2.42413,1.29024,0.940655,1.43294,-0.207603,5.41889,1.86023,1.56251
3.97473,6.76996,3.25419,7.02625,3.7981,2.23798,3.73875,2.16207,3.82003,1.73805,1.69558,1.1933,2.23742,1.17265,0.851742,1.3122,-0.194876,5.09874,1.7067,1.42695
3.81507,6.38409,3.0315,6.61882,3.54864,2.07242,3.48822,1.99847,3.56525,1.60225,1.55894,1.10275,2.07103,1.0687,0.773052,1.20464,-0.182875,4.80896,1.5703,1.30683
3.66532,6.03459,2.83142,6.25062,3.32412,1.92395,3.26317,1.85203,3.33635,1.48066,1.43696,1.02088,1.9219,0.97633,0.703087,1.10836,-0.171564,4.54543,1.44843,1.19981
3.52462,5.71652,2.65076,5.91621,3.12101,1.79015,3.05995,1.7203,3.12961,1.37126,1.32754,0.946599,1.78758,0.893858,0.64064,1.02181,-0.160912,4.30475,1.33902,1.10399
3.39217,5.42583,2.48686,5.61113,2.93644,1.66904,2.87556,1.60127,2.94201,1.27242,1.22894,0.878994,1.66606,0.81992,0.584694,0.943697,-0.150881,4.08408,1.24036,1.01783
3.26729,5.15911,2.33755,5.33168,2.76803,1.55897,2.70756,1.49326,2.77105,1.18277,1.13975,0.817292,1.55567,0.753384,0.53442,0.872955,-0.141445,3.88105,1.15105,0.940071
3.14935,4.91354,2.20103,5.07476,2.61377,1.45859,2.55389,1.3949,2.61466,1.10119,1.05877,0.760834,1.45504,0.693312,0.489113,0.808691,-0.13257,3.69364,1.06991,0.86964
3.03781,4.6867,2.07577,4.83777,2.47201,1.36674,2.41285,1.30503,2.4711,1.02672,0.985016,0.709055,1.36299,0.638916,0.448177,0.750147,-0.124226,3.52014,0.99597,0.805649
2.93218,4.47653,1.96048,4.61848,2.34132,1.28245,2.28298,1.22268,2.33889,0.958548,0.917649,0.661463,1.27855,0.589525,0.411106,0.696676,-0.116381,3.35908,0.928387,0.747347
2.832,4.28127,1.85407,4.41498,2.2205,1.20488,2.16305,1.14699,2.21677,0.895978,0.85595,0.617638,1.20088,0.544571,0.377472,0.647722,-0.109013,3.20918,0.866459,0.694094
2.73687,4.09941,1.7556,4.22565,2.1085,1.13333,2.052,1.07727,2.10368,0.838417,0.799305,0.577202,1.12924,0.503567,0.346893,0.602812,-0.102095,3.06934,0.80957,0.645336
2.64644,3.92962,1.66424,4.04906,2.00443,1.06717,1.94892,1.01288,1.99868,0.78535,0.747185,0.539839,1.06303,0.411549,0.319046,0.561529,-0.0955982,2.93861,0.7572,0.600603
2.56038,3.77076,1.57931,3.88399,1.90752,1.00587,1.85301,0.953295,1.90098,0.736329,0.699133,0.505259,1.0017,0.381721,0.293644,0.523516,-0.0895023,2.81615,0.708893,0.559481
2.47839,3.62181,1.50017,3.72935,1.81708,0.948957,1.76359,0.898052,1.80987,0.690962,0.654747,0.47321,0.944782,0.354298,0.270447,0.488451,-0.0837841,2.7012,0.664246,0.521612
2.40019,3.48189,1.4263,3.58421,1.73251,0.896032,1.68005,0.846737,1.72474,0.648908,0.613678,0.443469,0.891863,0.329052,0.249229,0.456062,-0.0784206,2.59313,0.622915,0.486683
2.32554,3.35023,1.35722,3.44772,1.65329,0.846727,1.60187,0.798988,1.64505,0.609864,0.575619,0.415833,0.842577,0.305782,0.229809,0.426102,-0.073391,2.49135,0.584595,0.454414
2.25421,3.22611,1.29251,3.31916,1.57897,0.800724,1.52857,0.754494,1.57032,0.57356,0.540297,0.39013,0.796602,0.284307,0.212002,0.398354,-0.068676,2.39535,0.549009,0.424566
2.18599,3.10893,1.23181,3.19785,1.50911,0.757741,1.45973,0.712969,1.50014,0.539763,0.507468,0.366196,0.753658,0.264471,0.195667,0.372622,-0.0642567,2.30466,0.515924,0.396917
2.1207,2.99813,1.17477,3.08323,1.44337,0.717525,1.395,0.674162,1.43412,0.508257,0.476922,0.34389,0.713488,0.24613,0.180672,0.348734,-0.0601139,2.21886,0.485121,0.371281
2.05816,2.89322,1.1211,2.97475,1.38141,0.679851,1.33403,0.637852,1.37193,0.478853,0.448462,0.323081,0.675867,0.229156,0.166885,0.326538,-0.0562325,2.1376,0.456411,0.347479
1.9982,2.79375,1.07055,2.87196,1.32293,0.644519,1.27654,0.603836,1.31327,0.451384,0.421919,0.303652,0.640589,0.213436,0.154209,0.305891,-0.052599,2.06053,0.429623,0.325361
1.94068,2.69931,1.02286,2.77443,1.26768,0.611341,1.22226,0.571936,1.25788,0.425694,0.397141,0.2855,0.607471,0.198866,0.14254,0.286669,-0.0491943,1.98736,0.404604,0.304787
1.88546,2.60956,0.977842,2.68177,1.21541,0.58016,1.17095,0.54199,1.2055,0.401647,0.373988,0.268525,0.576355,0.185352,0.131798,0.268759,-0.0460052,1.9178,0.381214,0.285635
1.8324,2.52416,0.935281,2.59365,1.16591,0.550825,1.12238,0.513849,1.15592,0.379117,0.35233,0.252642,0.547087,0.172812,0.121895,0.25206,-0.0430222,1.85161,0.359327,0.267788
1.78141,2.44281,0.895008,2.50974,1.11899,0.523201,1.07637,0.487381,1.10894,0.357993,0.332058,0.237771,0.519531,0.161161,0.112766,0.236481,-0.0402279,1.78857,0.338831,0.251148
1.73235,2.36525,0.856863,2.42976,1.07446,0.497166,1.03274,0.462465,1.06438,0.33817,0.313071,0.223841,0.493567,0.150339,0.104347,0.221933,-0.0376148,1.72847,0.319618,0.235622
1.68513,2.29121,0.820701,2.35347,1.03216,0.47261,0.99133,0.438993,1.02207,0.319555,0.295268,0.210782,0.469082,0.140278,0.0965805,0.208342,-0.0351696,1.67112,0.301601,0.221127
1.63966,2.22049,0.78639,2.2806,0.991949,0.44943,0.951985,0.416861,0.981875,0.302063,0.278571,0.198533,0.445974,0.130919,0.0894089,0.195637,-0.0328808,1.61634,0.284693,0.207582
